East 90th Street,Astoria,Roosevelt Island,Long Island City,East 34th Street,Brooklyn Navy Yard,Wall Street/ Pier 11
6:03 AM,6:09 AM,6:17 AM,6:23 AM,6:30 AM,6:44 AM,6:54 AM
6:41 AM,6:47 AM,6:55 AM,7:01 AM,7:08 AM,7:22 AM,7:32 AM
7:19 AM,7:25 AM,7:33 AM,7:39 AM,7:46 AM,8:00 AM,8:10 AM
7:57 AM,8:03 AM,8:11 AM,8:17 AM,8:24 AM,8:38 AM,8:48 AM
8:35 AM,8:41 AM,8:49 AM,8:55 AM,9:02 AM,9:16 AM,9:26 AM
9:13 AM,9:19 AM,9:27 AM,9:33 AM,9:40 AM,9:54 AM,10:04 AM
9:51 AM,9:57 AM,10:05 AM,10:11 AM,10:18 AM,10:32 AM,10:42 AM
10:29 AM,10:35 AM,10:43 AM,10:49 AM,10:56 AM,11:10 AM,11:20 AM
11:26 AM,11:32 AM,11:40 AM,11:46 AM,11:53 AM,12:07 PM,12:17 PM
12:23 PM,12:29 PM,12:37 PM,12:43 PM,12:50 PM,1:04 PM,1:14 PM
1:20 PM,1:26 PM,1:34 PM,1:40 PM,1:47 PM,2:01 PM,2:11 PM
2:17 PM,2:23 PM,2:31 PM,2:37 PM,2:44 PM,2:58 PM,3:08 PM
3:14 PM,3:20 PM,3:28 PM,3:34 PM,3:41 PM,3:55 PM,4:05 PM
4:14 PM,4:20 PM,4:28 PM,4:34 PM,4:41 PM,4:55 PM,5:05 PM
5:08 PM,5:14 PM,5:22 PM,5:28 PM,5:35 PM,5:49 PM,5:59 PM
5:46 PM,5:52 PM,6:00 PM,6:06 PM,6:13 PM,6:27 PM,6:37 PM
6:24 PM,6:30 PM,6:38 PM,6:44 PM,6:51 PM,7:05 PM,7:15 PM
7:02 PM,7:08 PM,7:16 PM,7:22 PM,7:29 PM,7:43 PM,7:53 PM
7:40 PM,7:46 PM,7:54 PM,8:00 PM,8:07 PM,8:21 PM,8:31 PM
8:18 PM,8:24 PM,8:32 PM,8:38 PM,8:45 PM,8:59 PM,9:09 PM
8:56 PM,9:02 PM,9:10 PM,9:16 PM,9:23 PM,9:37 PM,9:47 PM
9:34 PM,9:40 PM,9:48 PM,9:54 PM,10:01 PM,10:15 PM,10:25 PM