Wall Street/Pier 11,Brooklyn Navy Yard,East 34th Street,Long Island City,Roosevelt Island,Astoria,East 90th Street
8:00 AM,8:12 AM,8:27 AM,8:34 AM,8:40 AM,8:48 AM,8:52 AM
8:57 AM,9:09 AM,9:24 AM,9:31 AM,9:37 AM,9:45 AM,9:49 AM
9:54 AM,10:06 AM,10:21 AM,10:28 AM,10:34 AM,10:42 AM,10:46 AM
10:32 AM,10:44 AM,10:59 AM,11:06 AM,11:12 AM,11:20 AM,11:24 AM
11:10 AM,11:22 AM,11:37 AM,11:44 AM,11:50 AM,11:58 AM,12:02 PM
11:48 AM,12:00 PM,12:15 PM,12:22 PM,12:28 PM,12:36 PM,12:40 PM
12:26 PM,12:38 PM,12:53 PM,1:00 PM,1:06 PM,1:14 PM,1:18 PM
1:04 PM,1:16 PM,1:31 PM,1:38 PM,1:44 PM,1:52 PM,1:56 PM
1:42 PM,1:54 PM,2:09 PM,2:16 PM,2:22 PM,2:30 PM,2:34 PM
2:20 PM,2:32 PM,2:47 PM,2:54 PM,3:00 PM,3:08 PM,3:12 PM
2:58 PM,3:10 PM,3:25 PM,3:32 PM,3:38 PM,3:46 PM,3:50 PM
3:36 PM,3:48 PM,4:03 PM,4:10 PM,4:16 PM,4:24 PM,4:28 PM
4:14 PM,4:26 PM,4:41 PM,4:48 PM,4:54 PM,5:02 PM,5:06 PM
4:52 PM,5:04 PM,5:19 PM,5:26 PM,5:32 PM,5:40 PM,5:44 PM
5:30 PM,5:42 PM,5:57 PM,6:04 PM,6:10 PM,6:18 PM,6:22 PM
6:08 PM,6:20 PM,6:35 PM,6:42 PM,6:48 PM,6:56 PM,7:00 PM
6:46 PM,6:58 PM,7:13 PM,7:20 PM,7:26 PM,7:34 PM,7:38 PM
7:24 PM,7:36 PM,7:51 PM,7:58 PM,8:04 PM,8:12 PM,8:16 PM
8:02 PM,8:14 PM,8:29 PM,8:36 PM,8:42 PM,8:50 PM,8:54 PM
8:59 PM,9:11 PM,9:26 PM,9:33 PM,9:39 PM,9:47 PM,9:51 PM